[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, water, wall, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, wall, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, wall, wall, floor, wall, wall, wall, wall, wall, wall, wall, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, wall, floor, wall, water, water, water, water, water, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, wall, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, wall, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, wall, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, wall, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, wall, wall, wall, wall, water, water, wall, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, water, water]
[water, wall, floor, floor, wall, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, wall, wall]
[water, wall, floor, floor, wall, water, water, wall, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, wall, floor, wall]
[water, wall, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, floor, floor, floor, floor, floor, floor, floor, wall]
[water, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, wall, wall]
[water, wall, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, water, water]
[water, wall, floor, floor, wall, water, water, water, water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, wall, wall, wall, wall, water, water, water, water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, wall, wall, wall, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, wall, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, wall, wall, wall, wall, wall, floor, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, wall, wall, wall, wall, wall, wall, water, water, water, water]
[water, water, water, water, wall, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, floor, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water]
[water, water, water, water, wall, wall, floor, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water]
[water, water, water, water, water, wall, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water]
[water, water, water, water, water, wall, floor, wall, wall, wall, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, wall, wall, wall, wall, wall, wall, wall, wall, wall, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, wall, wall, wall, wall, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, wall, floor, floor, wall, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, wall, floor, floor, wall, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, wall, floor, floor, wall, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, wall, wall, wall, water, water, water, water, water, water, water, water, water, wall, floor, floor, wall, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, floor, wall, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, wall, wall, wall, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, wall, floor, floor, wall, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, wall, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, wall, wall, wall, wall, wall, wall, wall, wall, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
